Question,Answer,QType
What is (are) Beriberi ?,"Beriberi is a condition that occurs in people who are deficient in thiamine (vitamin B1). There are two major types of beriberi: wet beriberi which affects the cardiovascular system and dry beriberi which affects the nervous system. People with wet beriberi may experience increased heart rate, shortness of breath, and swelling of the lower legs. Signs and symptoms of dry beriberi include difficulty walking; loss of feeling in the hands and/or feet; paralysis of the lower legs; mental confusion; speech difficulty; pain; and/or vomiting. Beriberi is rare in the United States since many foods are now vitamin enriched; however, alcohol abuse, dialysis and taking high doses of diuretics increases the risk of developing the condition. In most cases, beriberi occurs sporadically in people with no family history of the condition. A rare condition known as genetic beriberi is inherited (passed down through families) and is associated with an inability to absorb thiamine from foods. Treatment generally includes thiamine supplementation, given by injection or taken by mouth.",information
What is (are) Polymyositis ?,"Polymyositis is a type of inflammatory myopathy, which refers to a group of muscle diseases characterized by chronic muscle inflammation and weakness. It involves skeletal muscles (those involved with making movement) on both sides of the body. Although it can affect people of all ages, most cases are seen in adults between the ages of 31 and 60. The exact cause of polymyositis is unknown; however, the disease shares many characteristics with autoimmune disorders which occur when the immune system mistakenly attacks healthy body tissues. It some cases, the condition may be associated with viral infections, malignancies, or connective tissue disorders. Although there is no cure for polymyositis, treatment can improve muscle strength and function.",information
What is (are) Ledderhose disease ?,"Ledderhose disease is a type of plantar fibromatosis characterized by thickening of the foot's deep connective tissue. While many individuals with Ledderhose disease do not experience symptoms, over time the condition may progress, causing considerable pain when walking. Repeated trauma, long-term alcohol consumption, chronic liver disease, diabetes, and epilepsy have been reported in association with the development of this condition. Heredity is also a clear factor in many patients. Often, patients with Ledderhose disease also have other fibrosing conditions such as Dupuytren contracture, knuckle pads, or Peyronie disease.  The exact prevalence of Ledderhose disease is unknown, with some studies stating it is rare, and others stating it is a common condition.",information
What are the genetic changes related to Schindler disease ?,"Mutations in the NAGA gene cause Schindler disease. The NAGA gene provides instructions for making the enzyme alpha-N-acetylgalactosaminidase. This enzyme works in the lysosomes, which are compartments within cells that digest and recycle materials. Within lysosomes, the enzyme helps break down complexes called glycoproteins and glycolipids, which consist of sugar molecules attached to certain proteins and fats. Specifically, alpha-N-acetylgalactosaminidase helps remove a molecule called alpha-N-acetylgalactosamine from sugars in these complexes.  Mutations in the NAGA gene interfere with the ability of the alpha-N-acetylgalactosaminidase enzyme to perform its role in breaking down glycoproteins and glycolipids. These substances accumulate in the lysosomes and cause cells to malfunction and eventually die. Cell damage in the nervous system and other tissues and organs of the body leads to the signs and symptoms of Schindler disease.",genetic changes
"Is Ehlers-Danlos syndrome, kyphoscoliosis type inherited ?","Is Ehlers-Danlos Syndrome, kyphoscoliotic type inherited? Ehlers-Danlos syndrome, kyphoscoliosis type is inherited in an autosomal recessive manner. This means that to be affected, a person must have a mutation in both copies of the responsible gene in each cell. The parents of an affected person usually each carry one mutated copy of the gene and are referred to as carriers. Carriers typically do not show signs or symptoms of the condition. When two carriers of an autosomal recessive condition have children, each child has a 25% (1 in 4) risk to have the condition, a 50% (1 in 2) risk to be a carrier like each of the parents, and a 25% chance to not have the condition and not be a carrier.",inheritance
What is (are) Donnai-Barrow syndrome ?,"Donnai Barrow syndrome is an inherited disorder that affects many parts of the body. People with this condition generally have characteristic facial features, severe sensorineural hearing loss, vision problems and an absent or underdeveloped corpus callosum (the tissue connecting the left and right halves of the brain). Other features may include diaphragmatic hernia, omphalocele, and/or other abnormalities of the intestine or heart. Affected people often have mild to moderate intellectual disability and developmental delay. Donnai Barrow syndrome is caused by changes (mutations) in the LRP2 gene and is inherited in an autosomal recessive manner. Treatment of this condition is based on the signs and symptoms present in each person but may include hearing aids and/or cochlear implants for hearing loss, corrective lenses for vision problems and surgery for certain physical abnormalities.",information
What is (are) Factor V Leiden thrombophilia ?,"Factor V Leiden thrombophilia is an inherited disorder that results in an increased risk of developing abnormal blood clots. Factor V Leiden is the name of a specific gene mutation in the F5 gene. This gene plays a critical role in the normal formation of blood clots in response to an injury. People can inherit one or two copies of the factor V Leiden gene mutation. Those who inherit one copy are called heterozygotes. People who inherit two copies of the mutation, one from each parent, are called homozygotes. Having the factor V Leiden mutation increases your risk for developing a clot in your legs called a deep venous thrombosis (DVT). It also increases your risk of developing a clot that travels through the bloodstream and lodges in the lungs, called a pulmonary embolism (PE).",information
What is (are) Corns and Calluses ?,"Corns and calluses are caused by pressure or friction on your skin. They often appear on feet where the bony parts of your feet rub against your shoes. Corns usually appear on the tops or sides of toes while calluses form on the soles of feet. Calluses also can appear on hands or other areas that are rubbed or pressed.    Wearing shoes that fit better or using non-medicated pads may help. While bathing, gently rub the corn or callus with a washcloth or pumice stone to help reduce the size. To avoid infection, do not try to shave off the corn or callus. See your doctor, especially if you have diabetes or circulation problems.    NIH: National Institute on Aging",information
What is (are) Ovarian Low Malignant Potential Tumors ?,"Key Points
                    - Ovarian low malignant potential tumor is a disease in which abnormal cells form in the tissue covering the ovary.     - Signs and symptoms of ovarian low malignant potential tumor include pain or swelling in the abdomen.    - Tests that examine the ovaries are used to detect (find), diagnose, and stage ovarian low malignant potential tumor.    - Certain factors affect prognosis (chance of recovery) and treatment options.
                
                
                    Ovarian low malignant potential tumor is a disease in which abnormal cells form in the tissue covering the ovary.
                    Ovarian low malignant potential tumors have abnormal cells that may become cancer, but usually do not. This disease usually remains in the ovary. When disease is found in one ovary, the other ovary should also be checked carefully for signs of disease.    The ovaries are a pair of organs in the female reproductive system. They are in the pelvis, one on each side of the uterus (the hollow, pear-shaped organ where a fetus grows). Each ovary is about the size and shape of an almond. The ovaries make eggs and female hormones.",information
Who is at risk for Urinary Tract Infections in Children? ?,"Throughout childhood, the risk of having a UTI is 2 percent for boys and 8 percent for girls. Having an anomaly of the urinary tract, such as urine reflux from the bladder back into the ureters, increases the risk of a UTI. Boys who are younger than 6 months old who are not circumcised are at greater risk for a UTI than circumcised boys the same age.1",susceptibility
What are the genetic changes related to primary carnitine deficiency ?,"Mutations in the SLC22A5 gene cause primary carnitine deficiency. This gene provides instructions for making a protein called OCTN2 that transports carnitine into cells. Cells need carnitine to bring certain types of fats (fatty acids) into mitochondria, which are the energy-producing centers within cells. Fatty acids are a major source of energy for the heart and muscles. During periods of fasting, fatty acids are also an important energy source for the liver and other tissues.  Mutations in the SLC22A5 gene result in an absent or dysfunctional OCTN2 protein. As a result, there is a shortage (deficiency) of carnitine within cells. Without carnitine, fatty acids cannot enter mitochondria and be used to make energy. Reduced energy production can lead to some of the features of primary carnitine deficiency, such as muscle weakness and hypoglycemia. Fatty acids may also build up in cells and damage the liver, heart, and muscles. This abnormal buildup causes the other signs and symptoms of the disorder.",genetic changes
What causes Binswanger's disease ?,"What causes Binswanger's disease? Binswanger's disease occurs when the blood vessels that supply the deep structures of the brain become obstructed (blocked). As the arteries become more and more narrowed, the blood supplied by those arteries decreases and brain tissue dies. This can be caused by atherosclerosis, thromboembolism (blood clots) and other diseases such as CADASIL. Risk factors for Binswanger's disease include: Hypertension Smoking Hypercholesterolemia Heart disease Diabetes mellitus",causes
What are the treatments for nonbullous congenital ichthyosiform erythroderma ?,These resources address the diagnosis or management of nonbullous congenital ichthyosiform erythroderma:  - Foundation for Ichthyosis and Related Skin Types (FIRST): Treatments  - Gene Review: Gene Review: Autosomal Recessive Congenital Ichthyosis  - Genetic Testing Registry: Autosomal recessive congenital ichthyosis 2   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,treatment
What is (are) Mineral and Bone Disorder in Chronic Kidney Disease ?,"Mineral and bone disorder in CKD occurs when damaged kidneys and abnormal hormone levels cause calcium and phosphorus levels in a persons blood to be out of balance. Mineral and bone disorder commonly occurs in people with CKD and affects most people with kidney failure receiving dialysis.
                
In the past, health care providers used the term renal osteodystrophy to describe mineral and hormone disturbances caused by kidney disease. Today, renal osteodystrophy only describes bone problems that result from mineral and bone disorder in CKD. Health care providers might use the phrase chronic kidney disease mineral and bone disorder, or CKD-MBD, to describe the condition that affects the bones, heart, and blood vessels.",information
"What are the treatments for Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?","How might hereditary endotheliopathy with retinopathy, nephropathy, and stroke (HERNS) be treated? At this time there is no effective treatment for hereditary endotheliopathy with retinopathy, nephropathy, and stroke (HERNS). Treatment of HERNS is largely palliative, which means that it is aimed at decreasing pain and suffering by providing treatments for relief of symptoms along with comfort and support. In some cases, aspirin may be recommended. Laser treatment to prevent retinal hemorrhage may be beneficial to some affected individuals. A continuous maintenance dose of corticosteroids may be prescribed to manage cerebral edema (swelling in the brain).",treatment
What causes Kawasaki syndrome ?,"What genes are related to Kawasaki syndrome? A variation in the ITPKC gene has been associated with an increased risk of developing Kawasaki syndrome. This gene provides instructions for making an enzyme called inositol 1,4,5-triphosphate 3-kinase C. This enzyme helps limit the activity of immune system cells called T cells, which identify foreign substances and defend the body against infection. Reducing the activity of T cells when appropriate prevents the overproduction of immune proteins called cytokines that lead to inflammation and can, when present in large quantities, can cause tissue damage. Researchers believe that variations in the ITPKC gene may interfere with the body's ability to reduce T cell activity, leading to inflammation that damages blood vessels and results in the symptoms of this disease. It is likely that other factors, including changes in additional genes, also influence the development of this complex disorder. What causes Kawasaki syndrome? The cause of Kawasaki syndrome isn't known. The body's response to a virus or infection combined with genetic factors may cause the disease. However, no specific virus or infection has been found, and the role of genetics is not well understood. Kawasaki syndrome is not contagious; it can't be passed from one child to another.",causes
What is (are) Lung Cancer ?,"There are two major types of lung cancer -- non-small cell lung cancer and small cell lung cancer. Each type of lung cancer grows and spreads in different ways, and each is treated differently. Non-small cell lung cancer is more common than small cell lung cancer. It generally grows and spreads slowly.  Learn more about non-small cell carcinoma.  Small cell lung cancer,  sometimes called oat cell cancer, grows more quickly and is more likely to spread to other organs in the body.  Learn more about small cell carcinoma.",information
What is (are) Cryptosporidiosis ?,"Cryptosporidiosis (crypto) is an illness caused by a parasite. The parasite lives in soil, food and water. It may also be on surfaces that have been contaminated with waste. You can become infected if you swallow the parasite.    The most common symptom of crypto is watery diarrhea. Other symptoms include       -  Dehydration     - Weight loss     -  Stomach cramps or pain     -  Fever     -  Nausea     -  Vomiting        Most people with crypto get better with no treatment, but crypto can cause serious problems in people with weak immune systems such as in people with HIV/AIDS. To reduce your risk of crypto, wash your hands often, avoid water that may be infected, and wash or peel fresh fruits and vegetables before eating.    Centers for Disease Control and Prevention",information
What are the treatments for Central core disease ?,"What treatments might be available for central core disease? Treatments for central core disease (CCD) depend on the symptoms experienced by each affected individual.  When someone is first diagnosed with this condition, a physical examination is done to assess the extent and severity of muscle weakness, and physical therapy and occupational therapy assessments to determine which therapies might be most beneficial.  Physical therapy, such as stretching or low-impact exercises, may help improve weakness.  Some skeletal abnormalities can be addressed with physical therapy, though others may require surgery.  As the muscle weakness and scoliosis associated with CCD can affect breathing, individuals diagnosed with this condition may benefit from pulmonary function tests.  If breathing is significantly affected, breathing exercises or other breathing support treatments may be recommended.  Another treatment option may be a medication called salbutamol, which was found to significantly increased muscle strength and stamina in six of eight children with CCD.",treatment
How many people are affected by metachromatic leukodystrophy ?,"Metachromatic leukodystrophy is reported to occur in 1 in 40,000 to 160,000 individuals worldwide. The condition is more common in certain genetically isolated populations: 1 in 75 in a small group of Jews who immigrated to Israel from southern Arabia (Habbanites), 1 in 2,500 in the western portion of the Navajo Nation, and 1 in 8,000 among Arab groups in Israel.",frequency
What is the outlook for Machado-Joseph Disease ?,"The severity of the disease is related to the age of onset, with earlier onset associated with more severe forms of the disease. Symptoms can begin any time between early adolescence and about 70 years of age. MJD is a progressive disease, meaning that symptoms get worse with time. Life expectancy ranges from the mid-thirties for those with severe forms of MJD to a normal life expectancy for those with mild forms. The cause of death for those who die early is often aspiration pneumonia.",outlook
What is (are) Anthrax ?,"Anthrax is a disease caused by Bacillus anthracis, a germ that lives in soil. Many people know about it from the 2001 bioterror attacks. In the attacks, someone purposely spread anthrax through the U.S. mail. This killed five people and made 22 sick.     Anthrax is rare. It affects animals such as cattle, sheep, and goats more often than people. People can get anthrax from contact with infected animals, wool, meat, or hides. It can cause three forms of disease in people. They are       -  Cutaneous, which affects the skin. People with cuts or open sores can get it if they touch the bacteria.     -  Inhalation, which affects the lungs. You can get this if you breathe in spores of the bacteria.     -  Gastrointestinal, which affects the digestive system. You can get it by eating infected meat.       Antibiotics often cure anthrax if it is diagnosed early. But many people don't know they have anthrax until it is too late to treat. A vaccine to prevent anthrax is available for people in the military and others at high risk.     NIH: National Institute of Allergy and Infectious Diseases",information
What are the symptoms of Osteogenesis imperfecta type VII ?,"What are the signs and symptoms of Osteogenesis imperfecta type VII? The Human Phenotype Ontology provides the following list of signs and symptoms for Osteogenesis imperfecta type VII. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Absent pulmonary artery - Autosomal recessive inheritance - Blue sclerae - Bowing of the legs - Breech presentation - Coxa vara - Crumpled long bones - Death in infancy - Decreased calvarial ossification - Delayed cranial suture closure - Externally rotated/abducted legs - Hydronephrosis - Hypoplastic pulmonary veins - Long philtrum - Micromelia - Multiple prenatal fractures - Multiple rib fractures - Narrow chest - Osteopenia - Pectus excavatum - Proptosis - Protrusio acetabuli - Recurrent fractures - Rhizomelia - Round face - Scoliosis - Vertebral compression fractures - Wide anterior fontanel - Wide cranial sutures - Wormian bones - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What are the symptoms of Primary Hyperparathyroidism ?,"Most people with primary hyperparathyroidism have no symptoms. When symptoms appear, they are often mild and nonspecific, such as
                
- muscle weakness  - fatigue and an increased need for sleep  - feelings of depression  - aches and pains in bones and joints
                
People with more severe disease may have
                
- loss of appetite  - nausea  - vomiting  - constipation  - confusion or impaired thinking and memory  - increased thirst and urination
                
These symptoms are mainly due to the high blood calcium levels that result from excessive PTH.",symptoms
How to prevent Balance Problems ?,"People are more likely to have problems with balance as they get older. But age is not the only reason these problems occur; there are other causes, too. In some cases, you can help reduce your risk for certain balance problems. Problems in the Inner Ear Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, also known as the labyrinth. When the labyrinth becomes infected or swollen, this condition is called labyrinthitis. It is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other Causes Other balance diseorers may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure can also cause dizziness. Aging, infections, head injury and many medicines may also result in a balance problem. Problems Caused by Medications Balance problems can also result from taking many medications. For example, some medicines, such as those that help lower blood pressure, can make a person feel dizzy. Ototoxic drugs are medicines that damage the inner ear. If your medicine is ototoxic, you may feel off balance. Sometimes the damage lasts only as long as you take the drug; many times it is permanent. Groups of drugs that are more likely to be ototoxic include -  antidepressants  - anti-seizure drugs (anticonvulsants)  -  hypertensive (high blood pressure) drugs  - sedatives  - tranquilizers  -  anxiolytics (anti-anxiety drugs)   - aminoglycosides (a type of antibiotic)   - diuretics  - vasodilators  - certain analgesics (painkillers)  - certain chemotherapeutics (anti-cancer drugs). antidepressants anti-seizure drugs (anticonvulsants) hypertensive (high blood pressure) drugs sedatives tranquilizers anxiolytics (anti-anxiety drugs) aminoglycosides (a type of antibiotic) diuretics vasodilators certain analgesics (painkillers) certain chemotherapeutics (anti-cancer drugs). Check with your doctor if you notice a problem while taking a medication. Ask if other medications can be used instead. If not, ask if the dosage can be safely reduced. Sometimes it cannot. However, your doctor will help you get the medication you need while trying to reduce unwanted side effects. Diet and Lifestyle Can Help Your diet and lifestyle can help you manage certain balance-related problems. For example, Mnire's disease, which causes vertigo and other balance and hearing problems, is linked to a change in the volume of fluid in the inner ear. By eating low-salt (low-sodium) or salt-free foods, and steering clear of caffeine and alcohol, you may make Mnire's disease symptoms less severe. See suggestions for limiting salt (sodium) in your diet. Balance problems due to high blood pressure can be managed by eating less salt (less sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension). Learn more about manging low blood pressure (hypotension). Prevent Ear Infections The ear infection called otitis media is common in children, but adults can get it too. Otitis media can sometimes cause dizziness. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you still get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections. (Centers for Disease Control and Prevention)",prevention
What are the treatments for Crouzonodermoskeletal syndrome ?,These resources address the diagnosis or management of Crouzonodermoskeletal syndrome:  - Gene Review: Gene Review: FGFR-Related Craniosynostosis Syndromes  - Genetic Testing Registry: Crouzon syndrome with acanthosis nigricans  - MedlinePlus Encyclopedia: Acanthosis Nigricans  - MedlinePlus Encyclopedia: Craniosynostosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,treatment
What are the genetic changes related to arginase deficiency ?,"Mutations in the ARG1 gene cause arginase deficiency.  Arginase deficiency belongs to a class of genetic diseases called urea cycle disorders. The urea cycle is a sequence of reactions that occurs in liver cells. This cycle processes excess nitrogen, generated when protein is used by the body, to make a compound called urea that is excreted by the kidneys.  The ARG1 gene provides instructions for making an enzyme called arginase. This enzyme controls the final step of the urea cycle, which produces urea by removing nitrogen from arginine. In people with arginase deficiency, arginase is damaged or missing, and arginine is not broken down properly. As a result, urea cannot be produced normally, and excess nitrogen accumulates in the blood in the form of ammonia. The accumulation of ammonia and arginine are believed to cause the neurological problems and other signs and symptoms of arginase deficiency.",genetic changes
What are the symptoms of Nephrotic Syndrome in Adults ?,"In addition to proteinuria, hyperlipidemia, edema, and hypoalbumina, people with nephrotic syndrome may experience
                
- weight gain  - fatigue  - foamy urine  - loss of appetite",symptoms
"What is (are) Salivary gland cancer, adult ?","Salivary gland cancer is a rare disease in which cancerous cells form in the tissues of the salivary glands. The salivary glands make saliva and release it into the mouth. Saliva has enzymes that help to digest food and antibodies that help protect against infections of the mouth and throat. There are 3 pairs of major salivary glands: the parotid glands, the sublingual glands, and the submandibular glands. The National Cancer Institute provides a picture of the anatomy of the salivary glands.  Some risk factors for salivary gland cancer are older age, exposure to radiation of the head and/or neck area, and family history. Signs and symptoms of the disease may include: a lump near the ear, cheek, jaw, lip, or inside of the mouth; trouble swallowing; fluid draining from the ear; numbness or weakness in the face; and on-going pain in the face. Different types of treatment are available for patients with salivary gland cancer. Some treatments are standard (currently used by physicians) and some are being tested in clinical trials (by researchers). It is suggested that patients with salivary gland cancer have their treatment planned and managed by a team of doctors who are experts in treating head and neck cancer. Although treatment depends on the stage of the cancer, typically the following three treatments are used: (1) surgery, (2) radiation therapy, and (3) chemotherapy. [1] [2]",information
What are the symptoms of Postural orthostatic tachycardia syndrome ?,"What are the signs and symptoms of postural orthostatic tachycardia syndrome? Postural orthostatic tachycardia syndrome (POTS) is primarily characterized by orthostatic intolerance (an excessively reduced volume of blood returns to the heart when moving from a lying down to a standing position). Orthostatic Intolerance is generally associated with lightheadedness and/or fainting that is typically relieved by lying down again. In people with POTS, these symptoms are also accompanied by a rapid increase in heartbeat. Other symptoms reported in POTS include: Visual changes (i.e. blurry vision) Throbbing of the head Poor concentration Tiredness Gastrointestinal symptoms (i.e. nausea, cramps, bloating, constipation, diarrhea) Shortness of breath Head, neck and/or chest discomfort Weakness Sleep disorders Exercise intolerance Sweating Anxiety",symptoms
Is Liddle syndrome inherited ?,How is Liddle syndrome inherited? Liddle syndrome is inherited in an autosomal dominant manner. This means that only one mutated copy of the disease-causing gene in each cell is sufficient to cause the condition. The mutated copy of the gene may be inherited from an affected parent or occur for the first time in an affected individual. Individuals with an autosomal dominant condition have a 50% (1 in 2) risk to pass the mutated copy of the gene on to each of his/her children.,inheritance
What is (are) Multiple Sclerosis ?,"An unpredictable disease of the central nervous system, multiple sclerosis (MS) can range from relatively benign to somewhat disabling to devastating, as communication between the brain and other parts of the body is disrupted. Many investigators believe MS to be an autoimmune disease -- one in which the body, through its immune system, launches a defensive attack against its own tissues. In the case of MS, it is the nerve-insulating myelin that comes under assault. Such assaults may be linked to an unknown environmental trigger, perhaps a virus.
                
Most people experience their first symptoms of MS between the ages of 20 and 40; the initial symptom of MS is often blurred or double vision, red-green color distortion, or even blindness in one eye. Most MS patients experience muscle weakness in their extremities and difficulty with coordination and balance. These symptoms may be severe enough to impair walking or even standing. In the worst cases, MS can produce partial or complete paralysis. Most people with MS also exhibit paresthesias, transitory abnormal sensory feelings such as numbness, prickling, or ""pins and needles"" sensations. Some may also experience pain. Speech impediments, tremors, and dizziness are other frequent complaints. Occasionally, people with MS have hearing loss. Approximately half of all people with MS experience cognitive impairments such as difficulties with concentration, attention, memory, and poor judgment, but such symptoms are usually mild and are frequently overlooked. Depression is another common feature of MS.",information
How to diagnose Hyperthyroidism ?,"Many symptoms of hyperthyroidism are the same as those of other diseases, so hyperthyroidism usually cannot be diagnosed based on symptoms alone. With suspected hyperthyroidism, health care providers take a medical history and perform a thorough physical exam. Health care providers may then use several blood tests, such as the following, to confirm a diagnosis of hyperthyroidism and find its cause:
                
TSH test. The ultrasensitive TSH test is usually the first test a health care provider performs. This test detects even tiny amounts of TSH in the blood and is the most accurate measure of thyroid activity available. The TSH test is especially useful in detecting mild hyperthyroidism. Generally, a TSH reading below normal means a person has hyperthyroidism and a reading above normal means a person has hypothyroidism.
                
Health care providers may conduct additional tests to help confirm the diagnosis or determine the cause of hyperthyroidism.
                
T3 and T4 test. This test shows the levels of T3 and T4 in the blood. With hyperthyroidism, the levels of one or both of these hormones in the blood are higher than normal.
                
Thyroid-stimulating immunoglobulin (TSI) test. This test, also called a thyroidstimulating antibody test, measures the level of TSI in the blood. Most people with Graves disease have this antibody, but people whose hyperthyroidism is caused by other conditions do not.
                
Radioactive iodine uptake test. The radioactive iodine uptake test measures the amount of iodine the thyroid collects from the bloodstream. Measuring the amount of iodine in a persons thyroid helps the health care provider determine what is causing a persons hyperthyroidism. For example, low levels of iodine uptake might be a sign of thyroiditis, whereas high levels could indicate Graves disease.
                
Thyroid scan. A thyroid scan shows how and where iodine is distributed in the thyroid. The images of nodules and other possible irregularities help the health care provider diagnose the cause of a persons hyperthyroidism.
                
More information is provided in the NIDDK health topic, Thyroid Tests.",exams and tests
What is (are) Trichorhinophalangeal syndrome type 3 ?,"Trichorhinophalangeal syndrome type 3 (TRPS3), also known as Sugio-Kajii syndrome, is an extremely rare inherited multisystem disorder. TRPS3 is characterized by short stature, sparse hair, a bulbous nasal tip and cone-shaped epiphyses (the growing ends of bones), as well as severe generalized shortening of all finger and toe bones (brachydactyly). The range and severity of symptoms may vary from case to case. TRPS3 is caused by mutations in the TRPS1 gene which is localized to 8q24.12. TRPS3 is inherited in an autosomal dominant manner.",information
What are the treatments for Diabetic Retinopathy ?,"Both focal and scatter laser treatment are performed in your doctor's office or eye clinic. Before the surgery, your doctor will dilate your pupil and apply drops to numb the eye. The area behind your eye also may be numbed to prevent discomfort. The lights in the office will be dim. As you sit facing the laser machine, your doctor will hold a special lens to your eye. During the procedure, you may see flashes of light. These flashes eventually may create a stinging sensation that can be uncomfortable. You will need someone to drive you home after surgery. Because your pupil will remain dilated for a few hours, you should bring a pair of sunglasses. For the rest of the day, your vision will probably be a little blurry. If your eye hurts, your doctor can suggest treatment.",treatment
What is (are) Hereditary spherocytosis ?,"Hereditary spherocytosis is a condition characterized by hemolytic anemia (when red blood cells are destroyed earlier than normal). Signs and symptoms can range from mild to severe and may include pale skin, fatigue, anemia, jaundice, gallstones, and enlargement of the spleen. Some people with a severe form may have short stature, delayed sexual development, and skeletal abnormalities. The condition is caused by mutations in any of several genes, such as the ANK1, EPB42, SLC4A1, SPTA1, and SPTB genes. It is most commonly inherited in an autosomal dominant manner, but may be inherited in an autosomal recessive manner. There are different types of hereditary spherocytosis, which are distinguished by severity and genetic cause. Depending on severity, treatment may involve splenectomy, red cell transfusions, folic acid supplementation, and/or cholecystectomy.",information
what research (or clinical trials) is being done for Hereditary Spastic Paraplegia ?,"The NINDS supports research on genetic disorders such as HSP. More than 30 genes that are responsible for several forms of HSP have been identified, and many more will likely be identified in the future. These genes generally encode proteins that normally help maintain the function of axons in the spinal cord. Understanding how mutations of these genes cause HSP should lead to ways to prevent, treat, and cure HSP.",research
How to diagnose Osteogenesis imperfecta type VI ?,"Is genetic testing available for osteogenesis imperfecta? Genetic testing is available for individuals with osteogenesis imperfecta. The rate for detecting mutations in the genes that are responsible for OI varies depending on the type. Carrier testing may be available to relatives of affected individuals if the type of OI, disease-causing gene, and specific mutation in the affected individual are known. Prenatal testing for at-risk pregnancies can be performed by analysis of collagen made by fetal cells obtained by chorionic villus sampling (CVS) at about ten to 12 weeks' gestation if an abnormality of collagen has been identified in cells from the affected individual. Analysis of collagen after an amniocentesis (usually performed at 15-20 weeks gestation) is not useful, because the cells obtained do not produce type I collagen. However, prenatal testing can be performed by analyzing the genes (molecular genetic testing) if the specific mutation has been identified in the affected relative. GeneTests lists the names of laboratories that are performing genetic testing for different types of osteogenesis imperfecta. To view the contact information for the clinical laboratories conducting testing, click here and click on ""Testing"" next to the type of OI in which you are interested. Please note that most of the laboratories listed through GeneTests do not accept direct contact from patients and their families; therefore, if you are interested in learning more, you will need to work with a health care provider or genetics professional. Genetics professionals, such as genetic counselors, can also explain the inheritance of OI in detail including information about genetic risks to specific family members.",exams and tests
What is (are) Hereditary sensory and autonomic neuropathy type V ?,"Hereditary sensory and autonomic neuropathy type V (HSAN5) is a condition that affects the sensory nerve cells. These cells, which are also called sensory neurons, transmit information about sensations such as pain, temperature, and touch. Signs and symptoms of the condition generally develop at birth or during early infancy and may include a loss of pain and temperature sensation. Because of the inability to feel deep pain, affected people suffer repeated severe injuries such as bone fractures and joint injuries that go unnoticed. HSAN5 is caused by changes (mutations) in the NGF gene and is inherited in an autosomal recessive manner. Medical management is based on the signs and symptoms present in each person and is oriented to control hyperthermia (elevated body temperature) and prevent injury.",information
How many people are affected by infantile neuroaxonal dystrophy ?,Infantile neuroaxonal dystrophy is a very rare disorder. Its specific incidence is unknown.,frequency
What is (are) spinocerebellar ataxia type 1 ?,"Spinocerebellar ataxia type 1 (SCA1) is a condition characterized by progressive problems with movement. People with this condition initially experience problems with coordination and balance (ataxia). Other signs and symptoms of SCA1 include speech and swallowing difficulties, muscle stiffness (spasticity), and weakness in the muscles that control eye movement (ophthalmoplegia). Eye muscle weakness leads to rapid, involuntary eye movements (nystagmus). Individuals with SCA1 may have difficulty processing, learning, and remembering information (cognitive impairment).  Over time, individuals with SCA1 may develop numbness, tingling, or pain in the arms and legs (sensory neuropathy); uncontrolled muscle tensing (dystonia); muscle wasting (atrophy); and muscle twitches (fasciculations). Rarely, rigidity, tremors, and involuntary jerking movements (chorea) have been reported in people who have been affected for many years.  Signs and symptoms of the disorder typically begin in early adulthood but can appear anytime from childhood to late adulthood. People with SCA1 typically survive 10 to 20 years after symptoms first appear.",information
